,No.,Material,Part Name,Storage Bin,Tact,Rack Number,Box 1,Box 2,Box 3,Box 4,Box 5,Recount 1,Recount 2,Recount 3,Recount 4,Recount 5,Status,Verify By,Remark,
,1,N 91180001,12-POINT SOCKET SHOULDER BOLT,GT1-44,01 RHS,1,499,,,,,,,,,,Verified,BEE,,ghh
,2,N  90871301,BUTTON,GT1-43,01 RHS,1,116,,,,,,,,,,Verified,BEE,,
,3,5C5857949,GROMMET,GT1-40,01 RHS,1,152,,,,,,,,,,Verified,BEE,,
,4,5H0864237,DAMPING,GT1-37,01 RHS,1,58,,,,,,,,,,Verified,BEE,,
,5,5H6863813,WHEEL HOUSING DAMPING,GT1-33,01 RHS,1,8,,,,,,,,,,Verified,BEE,,
,6,5H0853687  2ZZ,"NAMEPLATE,REAR",GT1-52,01 RHS,1,130,,,,,,,,,,Verified,BEE,,
,7,2GA853675G 2ZZ,NAMEPLATE,GT1-54,01 RHS,1,54,,,,,,,,,,Verified,BEE,,
,8,5H0907159P,EL.CONTROL UNIT,GT1-53,01 RHS,1,87,,,,,,,,,,Verified,BEE,,
,9,1K8823753B,PLUG,GT1-38,01 RHS,1,208,,,,,,,,,,Verified,BEE,,
,10,N  10609201,HEXAGON FLANGE NUT,GT1-42,01 RHS,1,2252,,,,,,,,,,Verified,BEE,,
,11,5NA827499,ADJUSTING BUFFER,GT1-36,01 RHS,1,577,,,,,,,,,,Verified,AZWAN,,
,12,2G6827505B 9B9,LOCK,GT1-47,01 RHS,1,23,,,,,,,,,,Verified,BEE,,
,13,N  10746401,COVER,GT1-45,01 RHS,1,639,,,,,,,,,,Verified,BEE,,
,14,5H0853675L,NAMEPLATE,GT1-51,01 RHS,1,115,,,,,,,,,,Verified,BEE,,
,15,2G6827517A,STRIKER,GT1-32,01 RHS,1,59,,,,,,,,,,Verified,BEE,,
,16,4M0823185F,"REINFORCEMENT, CLAMP",T01-02,01 LHS,2,311,,,,,,,,,,Verified,BEE,,29
,17,N  102058,PREV.TORQUE TYPE HEX.NUT W.FLANGE,T01-03,01 LHS,2,311,,,,,,,,,,Verified,BEE,,N10205802
,18,4M0823186F,CLAMP,T01-04,01 LHS,2,30,,,,,,,,,,Verified,BEE,,
,19,8T0823433B,BUMP STOP,T01-05,01 LHS,2,41,,,,,,,,,,Verified,BEE,,
,20,1H4971908A,PLUG,T01-06,01 LHS,2,9,,,,,,,,,,Verified,BEE,,
,21,N  10515101,COVER,T01-07,01 LHS,2,408,,,,,,,,,,Verified,BEE,,
,22,4H0804535,SEALING PART,T01-08,01 LHS,2,544,,,,,,,,,,Verified,BEE,,
,23,253867299  01C,CLIP,T01-09,01 LHS,2,440,500,400,100,400,,,,,,Verified,BEE,,
,24,4L0819419,WATER DRAIN VALVE,T01-10,01 LHS,2,136,,,,,,,,,,Verified,BEE,,
,25,4M0907285A,"HOLDER,ELECTR. CONTR.UNIT",T01-11,01 LHS,2,147,,,,,,,,,,Verified,BEE,,
,26,WHT003207,PLASTIC NUT,T01-12,01 LHS,2,15,,,,,,,,,,Verified,BEE,,
,27,4M0971871BH,GROMMET,T01-13,01 LHS,2,16,,,,,,,,,,Verified,BEE,,
,28,N  90714303,HEXAGON NUT W. WASHER,T01-14,01 LHS,2,643,,,,,,,,,,Verified,BEE,,
,29,N  91173301,HEXAGON NUT W. WASHER,T01-15,01 LHS,2,57,,,,,,,,,,Verified,BEE,,
,30,4M0971871BK,GROMMET,T01-16,01 LHS,2,44,,,,,,,,,,Verified,BEE,,
,31,N  0150821,HEXAGON FLANGE NUT,T01-18,01 LHS,2,0,,,,,,,,,,Counted,,,
,32,4M0819927B,TUBE,T01-21,01 LHS,2,14,,,,,,,,,,Verified,BEE,,
,33,4M0121449BK,COOLANT HOSE,T01-22,01 LHS,2,53,,,,,,,,,,Verified,BEE,,
,34,N  90686901,SPRING CLAMP,T01-23,01 LHS,2,4,650,,,,,,,,,Verified,JJ,,650 pcs transit area
,35,4M0819672A,HEATING HOSE,T01-26,01 LHS,2,35,,,,,,,,,,Verified,JJ,,
,36,5Q0951605B,SIREN,T01-27,01 LHS,2,12,,,,,,,,,,Verified,JJ,,
,37,4M0951285,BRACKET,T01-28,01 LHS,2,16,,,,,,,,,,Verified,JJ,,
,38,N  10609201,HEXAGON FLANGE NUT,T01-29,01 LHS,2,1228,1569,,,,,,,,,Verified,JJ,,
,39,N  90887703,PREV.TORQUE TYPE HEX.NUT W.FLANGE,T01-30,01 LHS,2,17,,,,,,,,,,Verified,JJ,,
,40,8K0614769B,GROMMET,T01-31,01 LHS,2,93,,,,,,,,,,Verified,JJ,,
,41,8W0611797C,BRACKET,T01-82,01 LHS,2,94,,,,,,,,,,Verified,JJ,,
,42,8K0611797B,BRACKET,T01-33,01 LHS,2,45,,,,,,,,,,Verified,JJ,,
,43,8K072135,CLIP,T01-34,01 LHS,2,27,,,,,,,,,,Verified,JJ,,
,44,4M0614769B,GROMMET,T01-35,01 LHS,2,19,,,,,,,,,,Verified,JJ,,
,45,1J0611853,LINE BRACKET,T01-37,01 LHS,2,85,,,,,,,,,,Verified,JJ,,
,46,8S0611797B,BRACKET,T01-40,01 LHS,2,170,,,,,,,,,,Verified,JJ,,
,47,4M0971871BG,GROMMET,T01-41,01 LHS,2,8,,,,,,,,,,Verified,JJ,,
,48,N  90553001,PROTECTIVE CAP,T01-42,01 LHS,2,42,,,,,,,,,,Verified,JJ,,
,49,4H0862234,CLUTCH,M100-5,01 LHS,2,188,,,,,,,,,,Verified,JJ,,
,50,4M0971225CS,"HARNESS,BATTERY",T1-19,01 LHS,2,1,,,,,,,,,,Verified,JJ,,
,51,4M0823359C,GAS SPRING,T1-1,01 LHS,2,13,,,,,,,,,,Verified,JJ,,
,52,4M0853737  2ZZ,TYPE SIGN,T01-80,01 LHS,2,15,,,,,,,,,,Verified,JJ,,
,53,1J0827713,PLUG,GT1-27,01 LHS,3,2290,,,,,,,,,,Verified,BEE,,
,54,5F0899181,PLUG,GT1-26,01 LHS,3,1008,,,,,,,,,,Verified,BEE,,
,55,N  90871902,CAP NUT WITH WASHER ASSEMBLY,GT1-05,01 LHS,3,207,,,,,,,,,,Verified,BEE,,
,56,N  91160301,BLIND RIVET,GT1-22,01 LHS,3,274,,,,,,,,,,Verified,BEE,,
,57,N  90911301,FIXING PLUG,GT1-21,01 LHS,3,479,,,,,,,,,,Verified,BEE,,
,58,N  01508210,HEXAGON FLANGE NUT,GT1-30,01 LHS,3,2658,,,,,,,,,,Verified,BEE,,
,59,433857445C,INTERMEDIATE LAYER,GT1-24,01 LHS,3,827,,,,,,,,,,Verified,BEE,,
,60,5G0951227B,BRACKET,GT1-06,01 LHS,3,52,,,,,,,,,,Verified,BEE,,
,61,5Q0611797A,BRACKET,GT1-25,01 LHS,3,346,,,,,,,,,,Verified,BEE,,
,62,3QF907601,PULSE GENERATOR,GT1-13,01 LHS,3,9,54,,,,,,,,,Verified,BEE,,
,63,5Q2614723E,BRAKE LINE,GT1-11,01 LHS,3,60,,,,,,,,,,Verified,BEE,,
,64,5WA915343C,BRACKET,GT1-08,01 LHS,3,14,,,,,,,,,,Verified,BEE,,
,65,5Q0723753,PLUG,GT1-07,01 LHS,3,211,,,,,,,,,,Verified,BEE,,
,66,5H0907159J,EL.CONTROL UNIT,GT1-31,01 LHS,3,86,,,,,,,,,,Verified,BEE,,
,67,1K0611751,GROMMET,GT1-23,01 LHS,3,404,,,,,,,,,,Verified,BEE,,
,68,3B0823499E,"BUFFER,ADJUSTABLE",GT1-28,01 LHS,3,460,,,,,,,,,,Verified,BEE,,
,69,5Q0199555BK,TRANSMISSION MOUNT,GT1-15,01 LHS,3,6,,,,,,,,,,Verified,BEE,,
,70,5G0906468A,BRACKET,GT1-12,01 LHS,3,57,,,,,,,,,,Verified,BEE,,
,71,5Q0951605B,SIREN,GT1-10,01 LHS,3,34,,,,,,,,,,Verified,BEE,,
