,No.,Material,Part Name,Storage Bin,Tact,Box 1,Box 2,Box 3,Box 4,Box 5,Recount 1,Recount 2,Recount 3,Recount 4,Recount 5,Status,,Verify By,Remark
,1,4M0820004,HEAT EXCHANGER 2,CC-1,CONSOLE,4,12,,,,,,,,,Counted,,,
,2,4M8864981A 4PK,INSERT,CC-10,CONSOLE,48,,,,,,,,,,Counted,,,
,3,4M8863244N KND,CENTER CONSOLE,CC-13,CONSOLE,16,,,,,,,,,,Counted,,,
,4,4N0919603M,VISUAL DISPLAY,CC-20,CONSOLE,4,6,,,,,,,,,Counted,,,
,5,4M2990974D,HARNESSES,CC-30,CONSOLE,0,7,,,,,,,,,Counted,,,"ECN, 
CHANGE TU PART NO 4M2990974A"
,6,4M0863243C,CENTER CONSOLE,CC-4,CONSOLE,18,,,,,,,,,,Counted,,,
,7,4M8864147 6PS,TRIM,CC-41,CONSOLE,18,,,,,,,,,,Counted,,,
,8,4M8863305 6PS,SIDE TRIM PANEL,CC-44,CONSOLE,9,,,,,,,,,,Counted,,,
,9,4M8863306 6PS,SIDE TRIM PANEL,CC-45,CONSOLE,10,,,,,,,,,,Counted,,,
,10,4M8864207K SLI,ARM REST,CC-46,CONSOLE,12,30,,,,,,,,,Counted,,,
,11,4M8864283,"SUPPORT BASE, LOWER",CC-5,CONSOLE,10,12,,,,,,,,,Counted,,,
,12,4M8863531C,ANGLE BRACKET,CC-7,CONSOLE,18,,,,,,,,,,Counted,,,
,13,4M0407241AA,STEERING KNUCKLE,CM-1,CM,5,,,,,,,,,,Counted,,,
,14,4M0407242AA,STEERING KNUCKLE,CM-10,CM,5,,,,,,,,,,Counted,,,
,15,4M0615106JS,BRAKE CALIPER,CM-12,CM,5,,,,,,,,,,Counted,,,
,16,4M0616039BF,AIR SHOCK ABSORBER,CM-15,CM,24,,,,,,,,,,Counted,,,
,17,4M0615301AS,BRAKE ROTOR,CM-4,CM,12,,,,,,,,,,Counted,,,
,18,4M0615105JS,BRAKE CALIPER,CM-6,CM,4,,,,,,,,,,Counted,,,
,19,4M0399315T,SUBFRAME,FA-1,FRONT AXLE,11,,,,,,,,,,Counted,,,
,20,4M2399345F,REINFORCEMENT,FA-14,FRONT AXLE,27,,,,,,,,,,Counted,,,
,21,4M0411305B,STABILIZER BAR,FA-17,FRONT AXLE,28,,,,,,,,,,Counted,,,
,22,4M0407693F,GUIDING CONTROL ARM,FA-6,FRONT AXLE,12,,,,,,,,,,Counted,,,
