,No.,Material,PART NAME,Storage Bin,Location,TACT,Seq 1,Seq 2,Seq 3,Seq 4,Seq 5,Recount 1,Recount 2,Recount 3,Recount 4,Recount 5,Status,Verify By,Remark
,1,5Q0129954F,COVER,GT14-38,B22,15 LHS,0,,,,,0,,,,,Verified,Nisha,
,2,4M0823359C,GAS SPRING,T1-1,B22,01 LHS,0,,,,,,,,,,Verified,Atif98,
,3,4M0971225CS,"HARNESS,BATTERY",T1-19,B22,01 LHS,0,,,,,,,,,,Verified,Atif98,
,4,5Q0199555BK,TRANSMISSION MOUNT,GT1-15,B22,01 LHS,0,,,,,,,,,,Verified,BEE,
,5,5WA200059CK,FUEL LINE,GT1-14,B22,01 LHS,0,,,,,,,,,,Verified,HAZIZIE,
,6,5H0863993C,PLENUM PANEL DAMPING,GT1-17,B22,01 LHS,0,,,,,,,,,,Verified,DEBBIE,
,7,5WC863353A,BULKHEAD SOUND INSULATION,GT1-19,B22,01 LHS,0,,,,,,,,,,Counted,,
,8,5Q0199555AB,TRANSMISSIONMOUNT,GT1-50,B22,01 LHS,0,,,,,,,,,,Counted,,
,9,4M0864440A,TRIM PANEL,T1-75,B22,01 RHS,0,,,,,,,,,,Counted,,
,10,4M0863433A,"TRIM,TRAY",T1-76,B22,01 RHS,0,,,,,,,,,,Counted,,
,11,4K0863261,"INSULATION, PILLAR",T1-78,B22,01 RHS,0,,,,,,,,,,Counted,,
,12,8K0863335B,DAMPING,T1-79,B22,01 RHS,0,,,,,,,,,,Counted,,
,13,5H6827705B,COVER SEAL,GT1-35,B22,01 RHS,0,,,,,,,,,,Counted,,
,14,4M2863923Q,BULKHEAD SOUND DAMPING,T1-45,B22,01 RHS,0,,,,,,,,,,Counted,,
,15,4M0827229B,COVER,T1-52,B22,01 RHS,0,,,,,,,,,,Counted,,
,16,4M0827705,COVER SEAL,T1-53,B22,01 RHS,0,,,,,,,,,,Counted,,
,17,4M6614517CB,BRAKE UNIT,T2-33,B22,02 LHS,0,,,,,,,,,,Counted,,
,18,4M0819181B,ONE-WAY FLAP-TYPE VEHICLE VENT,T2-46,B22,02 LHS,0,,,,,,,,,,Counted,,
,19,4M0945093Q,REAR COMBINATION LAMP,T2-57,B22,02 LHS,0,,,,,,,,,,Counted,,
