,No,Material,PART NAME,Storage Bin,Location,TACT,Box 1,Box 2,Box 3,Box 4,Box 5,Recount 1,Recount 2,Recount 3,Recount 4,Recount 5,Status,Verify By,Remark
,1,4M0823359C,GAS SPRING,T1-1,B22,01 LHS,18,,,,,,,,,,Verified,ARIF,
,2,4M0971225CS,"HARNESS,BATTERY",T1-19,B22,01 LHS,28,,,,,,,,,,Verified,AMMAR,
,3,4M0864440A,TRIM PANEL,T1-75,B22,01 RHS,28,,,,,,,,,,Verified,ARIF,
,4,4M0863433A,"TRIM,TRAY",T1-76,B22,01 RHS,65,,,,,,,,,,Verified,ARIF,
,5,4K0863261,"INSULATION, PILLAR",T1-78,B22,01 RHS,10,,,,,,,,,,Verified,ARIF,
,6,8K0863335B,DAMPING,T1-79,B22,01 RHS,20,,,,,,,,,,Verified,ARIF,
,7,4M6614517CB,BRAKE UNIT,T2-33,B22,02 LHS,12,,,,,,,,,,Verified,ARIF,
,8,4M0819181B,ONE-WAY FLAP-TYPE VEHICLE VENT,T2-46,B22,02 LHS,0,,,,,,,,,,Verified,Nisha,Direct to b17
,9,4M0945093Q,REAR COMBINATION LAMP,T2-57,B22,02 LHS,3,,,,,,,,,,Verified,AMMAR,
,10,4M0945094Q,REAR COMBINATION LAMP,T2-59,B22,02 LHS,16,,,,,,,,,,Verified,ARIF,
,11,4M2823535D,BOWDEN CABLE,T2-86,B22,02 RHS,55,,,,,,,,,,Verified,ARIF,
,12,4M1863517F,INSERT,T3-3,B22,03 LHS,14,,,,,,,,,,Verified,ARIF,
,13,4M0907286,"HOLDER,ELECTR. CONTR.UNIT",T3-4,B22,03 LHS,36,,,,,,,,,,Verified,ARIF,
,14,4M0863028,"INSERT,FLOOR MAT",T3-28,B22,03 RHS,38,,,,,,,,,,Verified,ARIF,
,15,4M0612103AG,BRAKE BOOSTER,T3-37,B22,03 RHS,16,,,,,,,,,,Verified,ARIF,
,16,4M0907341A,BRACKET,T4-43,B22,04 LHS,26,,,,,,,,,,Verified,ARIF,
,17,4M0616203F,PRESSURE ACCUMULATOR,T4-45,B22,04 LHS,10,,,,,,,,,,Verified,ARIF,
,18,4M0819803D,REAR FOOTWELL AIR DUCT,T4-47,B22,04 LHS,42,,,,,,,,,,Verified,ARIF,
,19,4M0819821C,REAR FOOTWELL AIR DUCT,T4-49,B22,04 LHS,54,,,,,,,,,,Verified,AMMAR,
,20,4M0819805B,REAR FOOTWELL AIR DUCT,T4-50,B22,04 LHS,34,,,,,,,,,,Verified,AMMAR,
,21,4M0863951B,FILLER,T1-73/ T4-54,B22,04 LHS/ 1LHS,186,,,,,,,,,,Verified,ARIF,
,22,4M0616204F,PRESSURE ACCUMULATOR,T4-75,B22,04 RHS,2,,,,,,,,,,Verified,ARIF,
,23,4M0819804E,REAR FOOTWELL AIR DUCT,T4-76,B22,04 RHS,12,,,,,,,,,,Verified,ARIF,
,24,4M0819822C,REAR FOOTWELL AIR DUCT,T4-77,B22,04 RHS,16,,,,,,,,,,Verified,ARIF,
,25,4M0819806B,REAR FOOTWELL AIR DUCT,T4-78,B22,04 RHS,42,,,,,,,,,,Verified,AMMAR,
,26,8W2035283,COMMUNICATIONSBOX,T4-83,B22,04 RHS,0,,,,,,,,,,Counted,,Direct to di b17
,27,4M0864843N,"TRIM TUNNEL,0UTER",T8-27,B22,08 LHS,34,,,,,,,,,,Verified,ARIF,
,28,4M0863983AA,DAMPING,T8-29,B22,08 LHS,3,,,,,,,,,,Verified,ARIF,
,29,4M0825692H,"HEAT SHIELDING, TUNNEL,REAR",T8-30,B22,08 LHS,122,,,,,,,,,,Verified,ARIF,
,30,4M0825661AN,"HEAT SHIELD,TUNNEL FRONT",T8-33,B22,08 LHS,12,,,,,,,,,,Verified,ARIF,
,31,4M0825662R,"HEAT SHIELD,TUNNEL FRONT",T8-34,B22,08 LHS,6,,,,,,,,,,Verified,ANWAR,
,32,4M0825711F,"HEAT SHIELD,TUNNEL FRONT",T8-36,B22,08 LHS,1,,,,,,,,,,Verified,ANWAR,
,33,4M0825623F,"HEAT SHIELD, CROSS PANEL",T8-38,B22,08 LHS,9,,,,,,,,,,Verified,ANWAR,
,34,4M0201544BF,FUEL LINE,T8-45,B22,08 RHS,4,,,,,,,,,,Verified,AMMAR,
,35,4M0201995K,BREATHER PIPE,T8-56,B22,08 RHS,25,,,,,,,,,,Verified,AMMAR,
,36,4M0821170B,COVER,T9-22,B22,09 LHS,0,,,,,,,,,,Counted,,Direct to b17
,37,4M0809906D,FUEL FILLER DOOR,T9-50,B22,09 RHS,26,,,,,,,,,,Verified,ZULFADLI,
,38,4M0854815F,CD-ENHANCING SILL COVER,T10-40,B22,10 LHS,23,,,,,,,,,,Verified,ARIF,
,39,4M0854816F,CD-ENHANCING SILL COVER,T10-41,B22,10 LHS,47,,,,,,,,,,Verified,ARIF,
,40,5Q0199555BK,TRANSMISSION MOUNT,GT1-15,B22,01 LHS,10,,,,,,,,,,Verified,AMMAR,
,41,5WA614517DS,BRAKE UNIT,GT2-37,B22,02 LHS,10,,,,,,,,,,Verified,AMMAR,
,42,5WC723058A,PEDAL CLUSTER,GT2-61,B22,02 RHS,30,,,,,,,,,,Verified,AMMAR,
,43,5WC614105BL,BRAKE BOOSTER,GT2-60,B22,02 RHS,12,,,,,,,,,,Verified,AMMAR,
,44,5H0827469AFDPJ,RELEASE MECHANISM,GT4-47,B22,04 RHS,31,,,,,,,,,,Verified,AMMAR,
,45,5H0945275D,"REAR COMBINATION  LAMP, PART 1",GT4-48,B22,04 RHS,24,,,,,,,,,,Verified,AMMAR,
,46,5H0945276E,REAR COMBINATION  LAMP,GT4-49,B22,04 RHS,25,,,,,,,,,,Verified,AMMAR,
,47,5Q0971592A,BRACKET,GT6-05,B22,06 LHS,396,,,,,,,,,,Verified,AMMAR,
,48,5G2815159C,COVER,GT6-12,B22,06 LHS,60,,,,,,,,,,Verified,AMMAR,
,49,5WA199262AN,ENGINE MOUNT,GT6-03,B22,06 LHS,99,,,,,,,,,,Verified,AMMAR,
,50,5Q0501733A,SHIELD,GT8-04,B22,08 LHS,216,,,,,,,,,,Verified,AMMAR,
,51,5Q0501734A,SHIELD,GT8-05,B22,08 LHS,52,,,,,,,,,,Verified,AMMAR,
,52,5WA915331B,BATTERY TRAY,GT8-06,B22,08 LHS,78,,,,,,,,,,Verified,AMMAR,
,53,5H0854857A,CD-ENHANCING SILL COVER,GT10-06,B22,10 LHS,14,7,,,,,,,,,Verified,Efendi,
,54,5H0854858A,CD-ENHANCING SILL COVER,GT10-07,B22,10 LHS,14,7,,,,,,,,,Verified,Efendi,
,55,5H0821111,END PLATE,GT14-02,B22,14 LHS,52,,,,,,,,,,Counted,,
,56,5H0821112,END PLATE,GT14-15,B22,14 RHS,54,,,,,,,,,,Counted,,
,57,5Q0129954F,COVER,GT14-38,B22, 15 LHS,23,23,,,,,,,,,Verified,Hazizie,Box 1 cannot be edited. Total in 46 cause box 2 is 23
,58,5Q0199555AB,TRANSMISSIONMOUNT,GT1-50,B22,01LHS,20,,,,,,,,,,Verified,ANWAR,
,59,5WA614517DT,BRAKEUNIT,GT2-62,B22,02LHS,6,,,,,,,,,,Verified,ANWAR,
