,No.,PartNumber,Part Number,Part Name,REMARK NISHA,LUQMAN,S.Bin,Tact,Rack Number
,842,N91079901,N  91079901,DUO HEXAGON FLANGE BOLT,,,GT10-19,10 LHS,39
,1029,N91079901,N  91079901,DUO HEXAGON FLANGE BOLT,DOUBLE TACT,,GT10-19,13 LHS,48
,9,1K8823753B,1K8823753B,PLUG,,,GT1-38, 01 RHS,1
,109,1K8823753B,1K8823753B,PLUG,DOUBLE TACT,,GT1-38,02 RHS,6
,119,5H6857805MRAA,5H6857805M RAA,SEAT BELT,,,GT2-32,02 RHS,6
,199,5H6857805MRAA,5H6857805M RAA,SEAT BELT,DOUBLE TACT,,GT2-32,02 LHS,10
,76,N10737001,N10737001,PREV.TORQUE TYPE HEX.NUT W.FLANGE,,,GT2-45,01 LHS,3
,116,N10737001,N  10737001,PREV.TORQUE TYPE HEX.NUT W.FLANGE,DOUBLE TACT,,GT2-45,02 RHS,6
,353,N10115101,N10115101,COVER,CHECK LOCATION,,GT8-07,04 LHS,18
,639,N10115101,N  10115101,COVER,,,GT8-07,8 RHS,31
,604,N10784701,N  10784701,HEXAGON FLANGE BOLT,,,GT8-08,8 RHS,29
,636,N10784701,N  10784701,HEXAGON FLANGE BOLT,DOUBLE TACT,,GT8-08,8 RHS,31
,605,N10784801,N  10784801,HEXAGON FLANGE BOLT,,,GT8-09,8 RHS,29
,650,N10784801,N  10784801,HEXAGON FLANGE BOLT,DOUBLE TACT,,GT8-09,8 RHS,31
,644,N0195307,N  0195307,HEXAGON FLANGE BOL T,CHECK LOCATION,,GT9-38,8 RHS,31
,720,N0195307,N 0195307,HEXAGON FLANGE BOL T,,,GT9-38,9 RHS,34
,21,N10515101,N  10515101,COVER,,,T01-07,01 LHS,2
,618,N10515101,N10515101,COVER,CHECK LOCATION,,T01-07,8 LHS,30
,28,N90714303,N  90714303,HEXAGON NUT W. WASHER,,,T01-14,01 LHS,2
,671,N90714303,N90714303,HEXAGON NUT W. WASHER,CHECK LOCATION,,T01-14,8 RHS,32
,297,N01508210,N  0150821,HEXAGON FLANGE NUT,,,T4-29,04 RHS,15
,400,N01508210,N  0150821,HEXAGON FLANGE NUT,DOUBLE TACT,,T4-29,04 LHS,21
,298,80A8576084PK,80A857608  4PK,GRAB HANDLE,,,T4-57,04 RHS,15
,487,80A8576084PK,80A857608  4PK,GRAB HANDLE,DOUBLE TACT,,T4-57,04 RHS,25
,430,N10609201,N  10609201,HEXAGON FLANGE NUT,,,T5-68,05 LHS,22
,495,N10609201,N  10609201,HEXAGON FLANGE NUT,DOUBLE TACT,,T5-68,05 RHS,25
,596,N01508210,N  0150821,HEXAGON FLANGE NUT,,,T6-23,6 LHS,28
,664,N01508210,N0150821,HEXAGON FLANGE NUT,CHECK LOCATION,,T6-23,8 LHS,32
,571,N90708803,N  90708803,SPRING NUT,,,T6-56,6 LHS,28
,665,N90708803,N  90708803,SPRING NUT,CHECK LOCATION,,T6-56,8 LHS,32
,727,4M0201215AB,4M0201215AB,FUEL SUPPLY LINE,,,T9-31,9 LHS,35
,872,4M0201215AB,4M0201215AB,FUEL SUPPLY LINE,CHECK LOCATION,,T9-31,9 LHS,41
,735,4M0121284EF,4M0121284EF,AIR DEFLECTOR,,,T9-41,9 LHS,35
,818,4M0121284EF,4M0121284EF,AIR DEFLECTOR,CHECK LOCATION,,T9-41,9 LHS,39
,652,N91229601,N 91229601,#N/A,CHECK PART,,#N/A,8 RHS,31
,780,3D0971260,3D0971260,#N/A,CHECK PART,,#N/A,9 LHS,36
,807,WHT007084,WHT007084,#N/A,CHECK PART,,#N/A,9 LHS,38
,1058,4G0959831D5PR,4G0959831D 5PR,#N/A,CHECK PART,,#N/A,14 RHS,49
,1093,85H857333,85H857333,#N/A,CHECK PART,,#N/A,14 LHS,52
,1137,5N0955205,5N0955205,#N/A,CHECK PART,,#N/A,15 LHS,54
,63,5Q2614723E,5Q2614723C,BRAKE LINE,,,GT1-11,01 LHS,3
,153,3Q2614739C,3Q2614739C,"BRAKE PRESSURE TUBE,CENTER",CHECK GOLF,,GT2-42,02 LHS,9
,259,5WA962132,5WA962132A,ANTENNA,CHANGE LABEL,,GT3-04,03 RHS,12
,443,5H0827469AFDPJ,5H0827469AFDPJ ,RELEASE MECHANISM,CHECK RACK,,GT4-47,05 LHS,22
,433,N10609204,N  10609204,HEXAGON FLANGE NUT,CHECK RACK,,GT5-03,05 LHS,22
,434,N90456002,N  90456002,HEXAGON FLANGE NUT,CHECK RACK,,GT5-09,05 LHS,22
,432,WHT008415,WHT008415,SPACER,CHECK RACK,,GT5-10,05 LHS,22
,431,WHT010241,WHT010241,TRIPLE SQUARE BOLT,CHECK RACK,,GT5-11,05 LHS,22
